Movie_Id,Movie_Title,Genres,Genres_id,language,popularity,release_date,runtime,status,vote_average,vote_count
641,Requiem for a Dream,"Crime,Drama",1060,English,11.573034,27/10/2000,102,Released,7.9,2443
12093,Lilya 4-ever,"Crime,Drama",1060,Swedish,7.759215,23/08/2002,109,Released,7.7,139
18900,"In,Cold Blood","Crime,Drama",1060,English,7.821438,14/12/1967,134,Released,7.4,82
868,Tsotsi,"Crime,Drama",1060,Afrikaans,2.504169,18/08/2005,94,Released,6.9,94
9517,Bully,"Crime,Drama",1060,English,6.677093,15/06/2001,113,Released,6.7,125
595,To Kill a Mockingbird,"Crime,Drama",1060,English,22.139842,25/12/1962,129,Released,8,657
226,Boys Don't Cry,"Crime,Drama",1060,English,15.557144,02/09/1999,118,Released,7.2,353
11023,Thirteen,"Crime,Drama",1060,English,20.331593,20/08/2003,100,Released,6.7,339
4816,Ghost Dog: The Way of the Samurai,"Crime,Drama",1060,English,18.223139,13/09/1999,116,Released,7.2,298
21309,River's Edge,"Crime,Drama",1060,English,6.463806,27/08/1986,99,Released,6.7,59
36334,Deadline U.S.A.,"Crime,Drama",1060,English,0.225627,14/03/1952,87,Released,6.9,17
103,Taxi Driver,"Crime,Drama",1060,English,58.845025,07/02/1976,114,Released,8,2535
24424,Ajami,"Crime,Drama",1060,Hebrew,0.51799,17/09/2009,120,Released,6.8,27
186935,Heli,"Crime,Drama",1060,Spanish,3.629777,09/08/2013,105,Released,6.2,32
654,On the Waterfront,"Crime,Drama",1060,English,16.015599,22/06/1954,108,Released,8,357
263503,Water & Power,"Crime,Drama",1060,English,0.350557,02/05/2014,0,Released,3,1
12281,"Mean,Creek","Crime,Drama",1060,English,8.519202,15/01/2004,90,Released,6.9,106
119657,El Rey de Najayo,"Crime,Drama",1060,English,0.080105,01/03/2012,101,Released,0,0
14290,Better Luck Tomorrow,"Crime,Drama",1060,English,3.877036,12/01/2002,101,Released,6.5,27
34697,Butterfly,"Crime,Drama",1060,English,1.063615,05/02/1982,107,Released,5,12
12192,Pathology,"Crime,Horror,Thriller",1061,English,9.782433,11/04/2008,95,Released,5.6,144
25066,Tales from the Hood,"Crime,Horror,Thriller",1061,English,3.89204,24/05/1995,98,Released,5.4,32
54702,Malevolence,"Crime,Horror,Thriller",1061,English,1.077321,10/09/2004,90,Released,4.9,14
36095,Cure,"Crime,Horror,Mystery,Thriller",1062,Japanese,0.212443,06/11/1997,111,Released,7.4,63
4232,Scream,"Crime,Horror,Mystery",1063,English,45.99611,20/12/1996,111,Released,7,1476
8617,Prom Night,"Crime,Horror",1064,English,9.642041,10/04/2008,88,Released,4.8,167
72086,The Night Visitor,"Crime,Horror",1064,English,0.074005,01/01/1971,106,Released,7.3,6
11967,Young Guns,"Crime,Action,Adventure,Drama,Western",1065,English,9.499325,12/08/1988,107,Released,6.6,258
11398,The Art of War,"Crime,Action,Adventure",1066,English,7.832337,23/08/2000,117,Released,5.6,135
42807,The Newton Boys,"Crime,Action,Drama",1067,English,3.123583,26/03/1998,113,Released,5.9,44
33542,Rumble in the Bronx,"Crime,Action,Comedy,Thriller",1068,Cantonese,17.318839,30/01/1995,91,Released,6.5,240
4638,Hot Fuzz,"Crime,Action,Comedy",1069,English,38.623178,14/02/2007,121,Released,7.4,2199
10622,Mr. Nice Guy,"Crime,Action,Comedy",1069,Cantonese,7.077505,31/01/1997,113,Released,6.3,128
336004,Heist,"Crime,Action,Thriller",1070,English,15.079993,13/11/2015,93,Released,5.6,318
